Object;Time;Content
Fila;6/2/2021 10:02;3
Fila;6/2/2021 10:02;2
Fila;6/2/2021 10:02;1
Fila;6/2/2021 10:03;2
Fila;6/2/2021 10:03;3
Fila;6/2/2021 10:03;2
Fila;6/2/2021 10:03;1
Fila;6/2/2021 10:03;0
Fila;6/2/2021 10:04;1
Fila;6/2/2021 10:04;0
Fila;6/2/2021 10:05;1
Fila;6/2/2021 10:05;0
Fila;6/2/2021 10:06;1
Fila;6/2/2021 10:06;0
Fila;6/2/2021 10:08;1
Fila;6/2/2021 10:08;0
Fila;6/2/2021 10:08;1
Fila;6/2/2021 10:08;2
Fila;6/2/2021 10:08;3
Fila;6/2/2021 10:08;4
Fila;6/2/2021 10:08;3
Fila;6/2/2021 10:08;2
Fila;6/2/2021 10:08;1
Fila;6/2/2021 10:08;0
Fila;6/2/2021 10:10;1
Fila;6/2/2021 10:10;0
Fila;6/2/2021 10:10;1
Fila;6/2/2021 10:10;0
Fila;6/2/2021 10:10;1
Fila;6/2/2021 10:10;2
Fila;6/2/2021 10:10;3
Fila;6/2/2021 10:10;4
Fila;6/2/2021 10:10;5
Fila;6/2/2021 10:11;4
Fila;6/2/2021 10:12;5
Fila;6/2/2021 10:12;6
Fila;6/2/2021 10:12;7
Fila;6/2/2021 10:12;8
Fila;6/2/2021 10:12;7
Fila;6/2/2021 10:12;6
Fila;6/2/2021 10:13;7
Fila;6/2/2021 10:13;8
Fila;6/2/2021 10:13;9
Fila;6/2/2021 10:13;8
Fila;6/2/2021 10:13;7
Fila;6/2/2021 10:13;6
Fila;6/2/2021 10:13;5
Fila;6/2/2021 10:14;6
Fila;6/2/2021 10:14;5
Fila;6/2/2021 10:15;4
Fila;6/2/2021 10:16;3
Fila;6/2/2021 10:16;2
Fila;6/2/2021 10:17;3
Fila;6/2/2021 10:17;2
Fila;6/2/2021 10:17;1
Fila;6/2/2021 10:18;0
Fila;6/2/2021 10:19;1
Fila;6/2/2021 10:19;0
Fila;6/2/2021 10:19;1
Fila;6/2/2021 10:19;2
Fila;6/2/2021 10:19;1
Fila;6/2/2021 10:20;2
Fila;6/2/2021 10:20;3
Fila;6/2/2021 10:20;4
Fila;6/2/2021 10:20;5
Fila;6/2/2021 10:20;6
Fila;6/2/2021 10:21;5
Fila;6/2/2021 10:21;4
Fila;6/2/2021 10:22;5
Fila;6/2/2021 10:22;6
Fila;6/2/2021 10:22;7
Fila;6/2/2021 10:22;8
Fila;6/2/2021 10:22;9
Fila;6/2/2021 10:22;10
Fila;6/2/2021 10:22;11
Fila;6/2/2021 10:22;12
Fila;6/2/2021 10:22;11
Fila;6/2/2021 10:22;10
Fila;6/2/2021 10:22;9
Fila;6/2/2021 10:23;10
Fila;6/2/2021 10:23;11
Fila;6/2/2021 10:23;10
Fila;6/2/2021 10:24;11
Fila;6/2/2021 10:24;10
Fila;6/2/2021 10:24;9
Fila;6/2/2021 10:25;10
Fila;6/2/2021 10:25;9
Fila;6/2/2021 10:25;8
Fila;6/2/2021 10:26;9
Fila;6/2/2021 10:26;10
Fila;6/2/2021 10:26;11
Fila;6/2/2021 10:26;12
Fila;6/2/2021 10:26;11
Fila;6/2/2021 10:28;12
Fila;6/2/2021 10:28;13
Fila;6/2/2021 10:28;14
Fila;6/2/2021 10:28;15
Fila;6/2/2021 10:28;14
Fila;6/2/2021 10:28;13
Fila;6/2/2021 10:29;14
Fila;6/2/2021 10:29;15
Fila;6/2/2021 10:29;16
Fila;6/2/2021 10:29;15
Fila;6/2/2021 10:30;16
Fila;6/2/2021 10:30;17
Fila;6/2/2021 10:30;16
Fila;6/2/2021 10:30;15
Fila;6/2/2021 10:31;16
Fila;6/2/2021 10:31;17
Fila;6/2/2021 10:31;18
Fila;6/2/2021 10:31;17
Fila;6/2/2021 10:31;16
Fila;6/2/2021 10:31;15
Fila;6/2/2021 10:31;14
Fila;6/2/2021 10:31;13
Fila;6/2/2021 10:31;12
Fila;6/2/2021 10:31;11
Fila;6/2/2021 10:32;10
Fila;6/2/2021 10:32;9
Fila;6/2/2021 10:32;8
Fila;6/2/2021 10:32;7
Fila;6/2/2021 10:32;6
Fila;6/2/2021 10:32;5
Fila;6/2/2021 10:33;6
Fila;6/2/2021 10:33;5
Fila;6/2/2021 10:33;4
Fila;6/2/2021 10:34;5
Fila;6/2/2021 10:34;4
Fila;6/2/2021 10:34;3
Fila;6/2/2021 10:35;4
